Year,Coal,Natural Gas,Nuclear,Hydro,Wind,Solar
1891,0,0,0,3.9,0,0
1892,0,0,0,0,0,0
1893,0,0,0,0.6,0,0
1894,0,0,0,0,0,0
1895,0,0,0,0,0,0
1896,0,0,0,3.6,0,0
1897,0,0,0,0,0,0
1898,0,0,0,11.2,0,0
1899,0,0,0,3.2,0,0
1900,0,0,0,9.2,0,0
1901,0,0,0,2.2,0,0
1902,0,0,0,2.4,0,0
1903,0,0,0,40.6,0,0
1904,0,0,0,30.2,0,0
1905,0,0,0,41.6,0,0
1906,0,0,0,35.4,0,0
1907,0,0,0,115.7,0,0
1908,0,0,0,55.6,0,0
1909,0,0,0,76,0,0
1910,0,0,0,198.9,0,0
1911,0,0,0,139.2,0,0
1912,0,0,0,224.7,0,0
1913,0,0,0,374.6,0,0
1914,0,0,0,141.4,0,0
1915,0,0.5,0,293.3,0,0
1916,0,0,0,183.3,0,0
1917,0,0,0,265.2,0,0
1918,0,0,0,189.2,0,0
1919,0,7.5,0,321.4,0,0
1920,0,0,0,158.4,0,0
1921,11.4,15,0,289.3,0,0
1922,0,0,0,167.1,0,0
1923,0,0,0,407.1,0,0
1924,6,0,0,533.4,0,0
1925,14.8,10.4,0,712.7,0,0
1926,0,20,0,299,0,0
1927,1.5,7.5,0,434.8,0,0
1928,3,18,0,1034.7,0,0
1929,26.4,33.2,0,284.2,0,0
1930,31.1,13.6,0,806.2,0,0
1931,0,0,0,613.6,0,0
1932,0,0,0,268.7,0,0
1933,2.8,2.8,0,38.5,0,0
1934,3,0,0,37.6,0,0
1935,74.2,5,0,69.4,0,0
1936,19.8,21.3,0,804.3,0,0
1937,13.8,11.8,0,351.7,0,0
1938,23.2,8.5,0,674.9,0,0
1939,33.9,36.7,0,502.1,0,0
1940,137.8,13.3,0,418.8,0,0
1941,102.3,102.5,0,745.2,0,0
1942,267.9,70.7,0,1148.5,0,0
1943,517.7,29.5,0,1117.4,0,0
1944,144,6.6,0,1054.8,0,0
1945,104.1,211.3,0,407.2,0,0
1946,70.4,48,0,52.1,0,0
1947,217.1,156.1,0,169.8,0,0
1948,708.2,772.6,0,808.2,0,0
1949,1274.4,880.9,0,1310,0,0
1950,1549.1,916.5,0,1195.7,0,0
1951,1780.1,1409.8,0,1409.1,0,0
1952,2734.4,1090.1,0,1729.5,0,0
1953,4001.1,1990,0,1998.1,0,0
1954,5145.4,3979.2,0,1321.3,0,0
1955,6564.6,2384.3,0,1751.8,0,0
1956,2232.3,2774.3,0,1234.9,0,0
1957,3753.1,2256.8,0,1487.5,0,0
1958,4933.2,6083.3,0,2880.2,0,0
1959,6158.4,3899.4,0,1778.1,0,0
1960,4895.8,3595.8,0,1611.1,0,0
1961,3711,4396.9,0,3567.8,0,0
1962,3795.2,3424.7,0,2502.8,0,0
1963,4009.6,4194.5,0,3445.1,0,0
1964,4456.9,4362.1,0,2345,0,0
1965,4134.7,6142.6,0,2136,0,0
1966,3353,5116.8,0,1570.8,0,0
1967,6781.6,8358.3,0,3963,0,0
1968,8118.5,6931.3,0,2846.3,0,0
1969,11229.8,6619.2,1237.4,1993.5,0,0
1970,10685,7244.1,2079.5,1570.3,0,0
1971,12425.9,9187.3,2271,1397.5,0,0
1972,11764,7863.6,6149.8,650.2,0,0
1973,14450.5,8207.9,4040.3,6355.6,0,0
1974,10190.8,11666.4,9524.3,1476.6,0,0
1975,10732.4,8925.7,6402.1,2507.8,16.5,0
1976,7742.5,5310.8,3772.4,2024,0,0
1977,10920.9,7156.9,6832.7,1391,0,0
1978,10836.8,4654,2116,3560,0,0
1979,9774.1,2765.8,883,3470.4,0,0
1980,15246.5,360.9,1928.5,1514.4,0,0
1981,9140.4,1365.4,4329.1,420.6,18.5,0
1982,10878.1,1573.6,1125.7,767.4,18.8,0
1983,6284.8,814.7,3304,896.5,374,0
1984,11110.5,896.1,7814,1998.8,150.2,14.8
1985,6107.8,1686.5,8484.5,4255.5,168.1,30
1986,5858.9,1470.1,9372.4,660.9,97.6,73
1987,4079.8,2363.6,7599.5,350.6,114.3,36
1988,1791.1,2399.2,6090,427,26.6,72.4
1989,3328.7,3689,2432,545.5,97.6,88
1990,1921.1,4790.3,3574.9,443.4,104.5,88
1991,3142.7,3317.9,0,1608.5,76.9,0
1992,1267.5,4808.5,0,198.4,6.5,0
1993,135.6,4089.8,1195,181.4,10.8,0
1994,949.5,7823.5,0,273.5,124.4,0
1995,2522,5990.5,0,1156.8,30,0
1996,1294.7,3803.2,1123,58,0,0
1997,78.2,3578.7,0,61.9,19,0
1998,52.8,1922.3,0,2.9,173.1,0.1
1999,220,7756.9,0,119,671.7,0.1
2000,125.8,25921.6,0,3.7,61.2,0
2001,440,37580,0,137.8,1516.5,4.6
2002,11,59101.3,0,345.1,666.8,3
2003,85.8,46892,0,80.8,1635.9,0.2
2004,521,21675.2,0,77.4,376,0
2005,399.4,15301.7,0,29.9,2162.2,2.9
2006,530.9,9144.9,0,20.4,2654.5,1.8
2007,1418.9,6822.6,0,21.6,5299.9,100.7
2008,1458.2,7685.3,0,39.1,8492,34
2009,1796.6,9331.9,0,25.8,9903.8,108.1
2010,5364.4,6509.8,0,20.8,4663.9,235.4
2011,3830.3,9950.1,0,163.8,6879.6,789.2
2012,3734,9520.4,0,393.8,13250,1610.4
2013,1527.6,7062.7,0,429,864.4,3551.9
2014,0,8963.1,0,176.2,4955.7,3760.9
2015,0,6388.6,0,140.6,8243.5,3539.8
2016,0,8572.4,1122,381.5,8749.8,8020.6
2017,0,9564.3,0,207.6,6090.3,5169.8
2018,0,19244.1,0,135.1,6889.8,4905.9
2019,0,8053,0,18.2,9267.2,5508.7
2020,17,6360.3,0,154,14732.4,10319.8